Category,Page Title,Page URL,Page URI,Regex Pattern
Account Settings,Account Settings,https://gastate.view.usg.edu/d2l/lp/preferences/preferences_main/preferences_main.d2l?ou=1070555,/d2l/lp/preferences/preferences_main/preferences_main.d2l?ou=1070555,^/d2l/lp/preferences/preferences_main/preferences_main\\.d2l.*$
Announcements,Announcements,https://gastate.view.usg.edu/d2l/lms/news/main.d2l?ou=2703385,/d2l/lms/news/main.d2l?ou=2703385,^/d2l/lms/news/.*$
Announcements,New Announcement,https://gastate.view.usg.edu/d2l/lms/news/newedit.d2l?ou=2809977&global=0,/d2l/lms/news/newedit.d2l?ou=2809977&global=0,^/d2l/lms/news/.*$
Announcements,Edit Announcement,https://gastate.view.usg.edu/d2l/lms/news/newedit.d2l?ou=2809977&newsId=6307747&Global=0,/d2l/lms/news/newedit.d2l?ou=2809977&newsId=6307747&Global=0,^/d2l/lms/news/.*$
Assignments,New Assignment (from module),https://gastate.view.usg.edu/d2l/le/activities/edit/TVRBM01EVTFOVjh5TURBd1h6TTJPRFkyTVRZLjI3MDMzODU?launchedFromLessons=False&returnUrl=%2fd2l%2fle%2fcontent%2f2703385%2fviewContent%2f60814317%2fView&isNew=True&returnText=Back+to+Content&optOutUrl=%2fd2l%2fle%2fcontent%2f2703385%2fviewContent%2f60814317%2fView&cancelUrl=%2fd2l%2fle%2fcontent%2f2703385%2fHome,/d2l/le/activities/edit/TVRBM01EVTFOVjh5TURBd1h6TTJPRFkyTVRZLjI3MDMzODU?launchedFromLessons=False&returnUrl=%2fd2l%2fle%2fcontent%2f2703385%2fviewContent%2f60814317%2fView&isNew=True&returnText=Back+to+Content&optOutUrl=%2fd2l%2fle%2fcontent%2f2703385%2fviewContent%2f60814317%2fView&cancelUrl=%2fd2l%2fle%2fcontent%2f2703385%2fHome,^/d2l/le/activities/edit/[a-zA-Z0-9]+\\?.*returnUrl=%2fd2l%2flms%2fdropbox%2fadmin%2f.*$
Assignments,Edit Assignment,https://gastate.view.usg.edu/d2l/le/activities/edit/TVRBM01EVTFOVjh5TURBd1h6TTJPRGc1TlRBLjI3MDMzODU?launchedFromLessons=False&returnUrl=%2fd2l%2flms%2fdropbox%2fadmin%2ffolders_manage.d2l%3fou%3d2703385&isNew=True&returnText=Back+to+Manage+Assignments&optOutUrl=,/d2l/le/activities/edit/TVRBM01EVTFOVjh5TURBd1h6TTJPRGc1TlRBLjI3MDMzODU?launchedFromLessons=False&returnUrl=%2fd2l%2flms%2fdropbox%2fadmin%2ffolders_manage.d2l%3fou%3d2703385&isNew=True&returnText=Back+to+Manage+Assignments&optOutUrl=,^/d2l/le/activities/edit/[a-zA-Z0-9]+\\?.*returnUrl=%2fd2l%2flms%2fdropbox%2fadmin%2f.*$
Assignments,Edit Assignment,https://gastate.view.usg.edu/d2l/le/activities/edit/TVRBM01EVTFOVjh5TURBd1h6TTJPVEE0TVRNLjI3MDMzODU?launchedFromLessons=False&returnUrl=%2fd2l%2flms%2fdropbox%2fadmin%2ffolders_manage.d2l%3fou%3d2703385&isNew=True&returnText=Back+to+Manage+Assignments&optOutUrl=,/d2l/le/activities/edit/TVRBM01EVTFOVjh5TURBd1h6TTJPVEE0TVRNLjI3MDMzODU?launchedFromLessons=False&returnUrl=%2fd2l%2flms%2fdropbox%2fadmin%2ffolders_manage.d2l%3fou%3d2703385&isNew=True&returnText=Back+to+Manage+Assignments&optOutUrl=,^/d2l/le/activities/edit/[a-zA-Z0-9]+\\?.*returnUrl=%2fd2l%2flms%2fdropbox%2fadmin%2f.*$
Assignments,Edit Categories,https://gastate.view.usg.edu/d2l/le/dropbox/admin/categories/2703385/Manage,/d2l/le/dropbox/admin/categories/2703385/Manage,^/d2l/le/dropbox/.*$
Assignments,Event Log,https://gastate.view.usg.edu/d2l/lms/dropbox/admin/eventLog/2703385/EventLog?ou=2703385,/d2l/lms/dropbox/admin/eventLog/2703385/EventLog?ou=2703385,^/d2l/lms/dropbox/.*$
Assignments,Assignments,https://gastate.view.usg.edu/d2l/lms/dropbox/admin/folders_manage.d2l?ou=2703385,/d2l/lms/dropbox/admin/folders_manage.d2l?ou=2703385,^/d2l/lms/dropbox/.*$
Assignments,Bulk Edit Assignments,https://gastate.view.usg.edu/d2l/lms/dropbox/admin/folders_quickedit.d2l?dbl=3112039&dbl=3112034&ou=2703385,/d2l/lms/dropbox/admin/folders_quickedit.d2l?dbl=3112039&dbl=3112034&ou=2703385,^/d2l/lms/dropbox/.*$
